,,,Guns By Date,,
Case Number,Booked,Description,Brand/Make Brand/Model,Serial #,
,Date,,,,
,,COURT ORDER,,,
2016-,3/5/2016,HAR-2: Bolt action rifle - Cleared,Rutger,M77,7099392
12544,,WACIC/NCIC,,,
2016-,3/5/2016,HAR-3: Bolt action rifle .303,Enfeild,MK 3 GRI,EC21606
12544,,caliber - Cleared WACIC/NCIC,,,
2016-,3/5/2016,HAR-1: Revolver - cleared,Smith & Wesson,10-6,86127
12544,,WACIC/NCIC,,,
2016-,3/9/2016,SW-4 Arisaka Long Rifle (Taken,,Arisaka,64110
13361,,for safekeeping from DV Assault),,,
2016-,3/9/2016,SW-2 Remington Model 597,Remington,597,A263174
13361,,(Taken for safekeeping from DV,,,
,,Assault),,,
2016-,3/9/2016,SW-3 1944 Long Rifle (Taken for,,1944,TC937
13361,,safekeeping from DV Assault),,,
2016-,3/9/2016,SW-1 Springfield XD-357 (Taken,Springfield,XD-357,US33961
13361,,for safekeeping from DV Assault),,,
2016-,3/14/2016,JAB-1 GLOCK 19,GLOCK,19,FA661
14197,,SEMIAUTOMATIC HANDGUN,,,
2016-,4/20/2016,KMC1-JAB1; Two 9mm caliber,Glock,19,FA661
14197,,casings for IBIS,,,
2016-,3/29/2016,JDB-1 Supermatic 20 guage,,C2011,None
16048,,shotgun model C2011,,,
2016-,3/28/2016,AKS-1 Colt BB Gun 15609126,COLT,Defender,15609126
16838,,,,,
16859,,9017M2S 17-caliber,,,
,,sn#96724822,,,
2016-,4/21/2016,RMN-1 Smith & Wesson,Smith & Wesson,Revolver,84042
16861,,Revolver,,,
2016-,3/31/2016,DK1- No serial Number,,M842,none
17517,,Westernfield M842,,,
,,FOR DESTRUCTION,,,
2016-,4/28/2016,TKE-1 Glock 23 .40 caliber SER,,23,WPS610
17901,,#WPS610,,,
2016-,4/14/2016,HAR-2: X B G .177 B.B. pistol,,XBG,15C5640
19409,,,,,
2016-,4/19/2016,JDB-1 Berretta 9mm pistol s/n,berretta,M9,155715
19910,,155715,,,
2016-,5/4/2016,TJK-2: Llama 9mm SN/B88524,,Llama,B88524
20412,,,,,
2016-,4/16/2016,DVB5- KelTec KSG shotgun with,KelTec,KSG,XY838
20524,,tag.,,,
2016-,1/5/2017,GCO-13 Kimber .45 cal Pistol,Kimber,Pro Carry HD,KR17115
20524,,"with clip (separated, no ammo)",,,
2016-,1/5/2017,"GCO-12 Beretta .40 cal Pistol,",Beretta,96,BER0014
20524,,ser #BER001458,,,
2016-,4/19/2016,PWD-1 Smith and Wesson,,SMITH &,J84622
21106,,Revolver S/N J84622,,WESSON,
2016-,4/21/2016,JCT-2: .45 caliber Glock 21,,Glock 21,TGE503
21407,,(Serial # TGE503) - Pellet Gun,,,
2016-,4/21/2016,JCT-3: Heckler and Koch 9mm,,H&K,24-15025
21407,,pistol (Serial # 24-150250),,,
2016-,4/21/2016,JCT-1: Windham Weaponry AR-,,WW-15,WW0048
21407,,15 (Serial # WW004879 Model #,,,
,,WW-15),,,
2016-,4/24/2016,JMS1-Black Sig Sauer 1911,,Sig Sauer,U031508
22079,,pistol (AIR SOFT) w/ 1 magazine,,,
2016-,4/30/2016,CLL - 1 Smith and Wesson,smith & wesson,.38 special,cce8708
23082,,Revolver,,,
2016-,5/5/2016,AEE 2 - 1 mag with 9 rounds and,,Springfield XD,US48309
24130,,1 sign round which was located,,,
,,in chamber,,,
2016-,5/5/2016,AEE 1 - Springfield XD 40 cal,,Springfield XD,US48309
24130,,,,,
2016-,5/12/2016,JCM-2 : Smith and Wesson,Smith & Wesson,MP40c,DXK3225
24130,,MP40c .40SW. SN DXK3225.,,,
,,Found under driver seat.,,,
25583,,Model M911A1 Serial #1333686,,,
,,w/magazine containing 4 bullets,,,
,,seized from SE bedroom in box,,,
,,on floor,,,
2016-,5/15/2016,EMI-6 S&W .357 Magnum Serial,.357 Magnum,4K80678,
25583,,# 4k80678 w/six bullets seized,,,
,,from SE Bedroom in box on floor,,,
2016-,5/15/2016,EMI-8 Browning 9mm Serial,Browning,T149172,
25583,,#T149172 w/magazine,,,
,,containing 10 bullets seized from,,,
,,SE bedroom in box on floor,,,
2016-,5/15/2016,EMI-31 Taurus Revolver .38,.38 special,NJ78029,
25583,,special Serian #NJ78029 seized,,,
,,from NE bedroom dresser,,,
2016-,5/15/2016,EMI-30 H&R Revolver S&W,832,AX16588,
25583,,Model 832 Serial #AX165886,,,
,,seized from NE bedroom dresser,,,
2016-,5/15/2016,EMI-10 High Standard Man.Co.,W-101,966766,
25583,,.99 caliber revolver W-101 Serial,,,
,,#966766 w/9 bullets seized from,,,
,,SE bedroom in box on floor,,,
2016-,5/15/2016,EMI-13 Colt .45 caliber,Commander,CLW0237,
25583,,Commander Serial #CLW023796,,,
,,W/2 two magazines w/13 bullets,,,
,,seized from SE bedroom in box,,,
,,on floor,,,
2016-,5/15/2016,EMI-7 S&W .357 Magnum Model,.357 Magnum,32263,
25583,,19.3 Serial # 32263 w/six bullets,,,
,,seized from SE Bedroom in box,,,
,,on Floor,,,
2016-,5/15/2016,EMI-12 Arminius .22 caliber,HN7S,295104,
25583,,Model HN7S Serial #295104,,,
,,seized from SE bedroom in box,,,
,,on floor,,,
2016-,5/15/2016,EMI-14 Beretta .380 caliber,70,38366,
25583,,Model 70 Serial #38366 w/8,,,
,,bullets seized from SE bedroom,,,
,,in box on floor,,,
2016-,5/15/2016,EMI-19 Taurus Revolver .22,Magnum,MB70868,
25583,,caliber Magnum Serial,,,
,,#MB70868 w/8 bullets seized,,,
,,from laundry storage room,,,
25583,,Patrolman Model 28-2 Serial,,,
,,#5302550 seized from SE,,,
,,bedroom in box on floor,,,
2016-,5/15/2016,EMI-17 Sig Arms P239 .40,,P239,S4-49465
25583,,caliber Serial #S4-49465 w/4,,,
,,magazines w/12 bullets seized,,,
,,from hallway closet by front door,,,
2016-,5/15/2016,"EMI-29 Marlin Rifle Model 9,",,9,10883614
25583,,9mm Serial #10883614 W/one,,,
,,magazine seized from NE,,,
,,bedroom closet,,,
2016-,5/15/2016,EMI-26 Ruger Rifle Model 10/22,,10/22 Carbine,125-0297
25583,,Carbine Serial #125-02972,,,
,,seized from NE bedroom closet,,,
2016-,5/15/2016,EMI-27 Rifle M1945 Serial,,M1945,16699
25583,,#16699 303 caliber 181/2 barrel,,,
,,w/1 magazine seized from NE,,,
,,bedroom closet,,,
2016-,5/15/2016,EMI-38 Winchester Model 9422,,9422,unknown
25583,,XTR 22 rifle seized from attic,,,
2016-,5/15/2016,EMI-37 Winchester Model 1200,,1200,unknown
25583,,12 gauge shotgun 2 3/4 seized,,,
,,from attic,,,
2016-,5/15/2016,EMI-42 Marlin Model 795 .22,,795,unknown
25583,,caliber rifle w/one magazine,,,
,,seized from attic,,,
2016-,5/15/2016,EMI-28 Barreta Rifle Silver Snipe,,Silver snipe,149213
25583,,Overlander Serial #149213,,,
,,seized from NE bedroom closet,,,
2016-,5/15/2016,EMI-18 Remington 870 Magnum,,870 Magnum,B194912
25583,,"Shotgun, 12 gauge, serial",,,
,,#B194912M seized from entry,,,
,,closet near front door,,,
2016-,5/15/2016,EMI-40 Browning Arms Light IR,,Light IR,69G7581
25583,,Serial #69G75811 seized from,,,
,,attic,,,
2016-,5/15/2016,EMI-41 MA Lithgow Model 1945,,1945,549A
25583,,Serial #549A W/one magazine,,,
,,seized from attic,,,
2016-,5/15/2016,EMI-39 Labanu Inc. Mac 90,,Mac 90,52971
25583,,rifle .762 caliber serial #52971,,,
,,w/one magazine seized from attic,,,
2016-,5/17/2016,RAN-3 Glock 9mm model 17,Glock,17,HG124
25583,,sn#HG124 with empty magazine,,,
25583,,Caliber .9 Luger Serial #B5800,,,
,,seized by Officer Hodges from,,,
,,under cushion in living room chair,,,
2016-,5/17/2016,EMI-45 S&W 38 Special GTG,,38 special GTG,K523189
25583,,revolver Serial #K523189 seized,,,
,,by Officer Hodges from under,,,
,,cushion in living room chair,,,
2016-,5/17/2016,EMI-44 S&W 38 Special revolver,,38 special,V56892
25583,,Serial #V56892 seized by Officer,,,
,,Hodges from under cushion in,,,
,,living room chair,,,
2016-,8/26/2016,JTK 7A-9mm Sig Sauer semi-,Sig Sauer,P290RS,26C0059
26558,,auto pistol,,,
